id,title,year,genre,rating,description
1,No Country for Old Men,1965,Crime,8.8,An emotional story that leaves a lasting impact.
2,Braveheart,2014,Animation,7.0,A visually stunning film with a heartfelt narrative.
3,The Shawshank Redemption,1958,Sci-Fi,6.7,An unforgettable journey of courage and discovery.
4,Goodfellas,2007,Drama,8.0,A visually stunning film with a heartfelt narrative.
5,Good Will Hunting,2019,Horror,7.9,A thrilling adventure that keeps you on the edge.
6,Interstellar,1978,Thriller,7.2,An emotional story that leaves a lasting impact.
7,Interstellar,1984,Adventure,7.2,A warm and inspiring tale of hope and resilience.
8,No Country for Old Men,1988,Thriller,7.8,A gripping story filled with emotion and depth.
9,Toy Story,1960,Sci-Fi,9.0,A warm and inspiring tale of hope and resilience.
10,Her,1975,Drama,9.0,A suspenseful ride packed with unexpected twists.
11,Pulp Fiction,1950,Drama,8.9,A beautifully crafted film with memorable characters.
12,Inception,2009,Thriller,8.9,An unforgettable journey of courage and discovery.
13,Avatar,2002,Action,8.1,A gripping story filled with emotion and depth.
14,The Green Mile,2009,Horror,9.2,A fast-paced story with intense action sequences.
15,The Truman Show,2008,Adventure,7.0,A gripping story filled with emotion and depth.
16,The Silence of the Lambs,1985,Sci-Fi,7.4,A visually stunning film with a heartfelt narrative.
17,No Country for Old Men,1970,Crime,8.7,A powerful drama exploring human relationships.
18,Black Panther,2024,Comedy,9.7,A warm and inspiring tale of hope and resilience.
19,Inception,1956,Romance,6.6,A fast-paced story with intense action sequences.
20,Django Unchained,1990,Animation,7.7,A visually stunning film with a heartfelt narrative.
21,Moonlight,1978,Action,7.0,A warm and inspiring tale of hope and resilience.
22,The Silence of the Lambs,1979,Crime,7.0,A warm and inspiring tale of hope and resilience.
23,Indiana Jones and the Last Crusade,1970,Thriller,7.9,A powerful drama exploring human relationships.
24,The Matrix,1973,Animation,7.1,A powerful drama exploring human relationships.
25,Rocky,1993,Sci-Fi,6.5,An emotional story that leaves a lasting impact.
26,The Terminator,1985,Thriller,6.5,A beautifully crafted film with memorable characters.
27,Joker,1971,Comedy,7.5,A powerful drama exploring human relationships.
28,Jurassic Park,1952,Romance,9.8,A visually stunning film with a heartfelt narrative.
29,Interstellar,2014,Thriller,9.1,A powerful drama exploring human relationships.
30,The Pianist,2021,Comedy,8.3,A suspenseful ride packed with unexpected twists.
31,Harry Potter and the Sorcerer's Stone,2016,Crime,9.0,An unforgettable journey of courage and discovery.
32,Iron Man,1966,Crime,9.2,An emotional story that leaves a lasting impact.
33,The Green Mile,2023,Romance,9.1,A beautifully crafted film with memorable characters.
34,Her,2008,Thriller,9.5,An emotional story that leaves a lasting impact.
35,Joker,2002,Animation,7.4,A thrilling adventure that keeps you on the edge.
36,The Lord of the Rings,1998,Drama,8.0,A beautifully crafted film with memorable characters.
37,2001: A Space Odyssey,2008,Action,9.1,A thrilling adventure that keeps you on the edge.
38,Se7en,1961,Action,9.2,A beautifully crafted film with memorable characters.
39,Joker,1969,Animation,8.5,A beautifully crafted film with memorable characters.
40,The Departed,1959,Action,7.3,A warm and inspiring tale of hope and resilience.
41,Iron Man,1965,Sci-Fi,8.4,A thrilling adventure that keeps you on the edge.
42,Star Wars,1997,Crime,7.7,A powerful drama exploring human relationships.
43,The Wolf of Wall Street,1978,Action,9.3,A powerful drama exploring human relationships.
44,The Silence of the Lambs,2014,Thriller,7.0,A fast-paced story with intense action sequences.
45,Shutter Island,1995,Adventure,9.3,A fast-paced story with intense action sequences.
46,The Lion King,1999,Thriller,8.5,A suspenseful ride packed with unexpected twists.
47,The Big Lebowski,1956,Crime,8.2,An unforgettable journey of courage and discovery.
48,Toy Story,1981,Romance,9.3,A powerful drama exploring human relationships.
49,Inception,1995,Adventure,9.2,A fast-paced story with intense action sequences.
50,Indiana Jones and the Last Crusade,2016,Romance,9.6,A suspenseful ride packed with unexpected twists.
51,The Lord of the Rings,2024,Drama,7.1,A warm and inspiring tale of hope and resilience.
52,Good Will Hunting,1957,Comedy,7.4,A thrilling adventure that keeps you on the edge.
53,Fight Club,1970,Comedy,8.1,A beautifully crafted film with memorable characters.
54,The Shawshank Redemption,2013,Action,8.4,A powerful drama exploring human relationships.
55,Harry Potter and the Sorcerer's Stone,1997,Crime,7.9,A powerful drama exploring human relationships.
56,The Pianist,1969,Animation,8.6,A warm and inspiring tale of hope and resilience.
57,The Lion King,2016,Romance,9.4,A thrilling adventure that keeps you on the edge.
58,Moonlight,1955,Comedy,7.1,A visually stunning film with a heartfelt narrative.
59,Back to the Future,2023,Adventure,8.2,A powerful drama exploring human relationships.
60,Whiplash,1985,Crime,8.5,A beautifully crafted film with memorable characters.
61,The Avengers,2012,Comedy,7.0,A visually stunning film with a heartfelt narrative.
62,The Silence of the Lambs,1970,Sci-Fi,9.7,A warm and inspiring tale of hope and resilience.
63,Iron Man,1972,Crime,8.7,A beautifully crafted film with memorable characters.
64,The Truman Show,1960,Animation,7.8,An emotional story that leaves a lasting impact.
65,The Big Lebowski,1990,Thriller,8.4,An unforgettable journey of courage and discovery.
66,The Avengers,1968,Horror,7.2,A beautifully crafted film with memorable characters.
67,Whiplash,1975,Action,8.1,A gripping story filled with emotion and depth.
68,The Avengers,2008,Sci-Fi,8.8,A beautifully crafted film with memorable characters.
69,Braveheart,1991,Action,8.8,A powerful drama exploring human relationships.
70,Titanic,1954,Horror,7.1,A thrilling adventure that keeps you on the edge.
71,Star Wars,1995,Romance,7.9,A beautifully crafted film with memorable characters.
72,The Terminator,1976,Drama,7.5,A powerful drama exploring human relationships.
73,The Departed,2014,Thriller,6.7,An unforgettable journey of courage and discovery.
74,Indiana Jones and the Last Crusade,1971,Action,9.8,A suspenseful ride packed with unexpected twists.
75,Interstellar,1950,Horror,8.7,A suspenseful ride packed with unexpected twists.
76,2001: A Space Odyssey,2019,Action,7.7,A suspenseful ride packed with unexpected twists.
77,The Truman Show,2010,Thriller,6.6,A warm and inspiring tale of hope and resilience.
78,The Batman,2023,Adventure,8.6,An emotional story that leaves a lasting impact.
79,Gladiator,1972,Comedy,8.9,A suspenseful ride packed with unexpected twists.
80,Mad Max: Fury Road,2017,Sci-Fi,7.5,A thrilling adventure that keeps you on the edge.
81,The Wolf of Wall Street,2000,Action,8.1,An emotional story that leaves a lasting impact.
82,Titanic,2002,Romance,7.4,A powerful drama exploring human relationships.
83,Goodfellas,2022,Drama,8.9,A visually stunning film with a heartfelt narrative.
84,Fight Club,1959,Horror,7.4,A powerful drama exploring human relationships.
85,Gladiator,1972,Horror,8.4,An emotional story that leaves a lasting impact.
86,Goodfellas,1958,Action,8.4,A thrilling adventure that keeps you on the edge.
87,Goodfellas,2020,Crime,8.9,A warm and inspiring tale of hope and resilience.
88,The Big Lebowski,2018,Romance,6.9,A powerful drama exploring human relationships.
89,Jurassic Park,1993,Comedy,6.9,A thrilling adventure that keeps you on the edge.
90,Whiplash,1959,Thriller,9.4,A thrilling adventure that keeps you on the edge.
91,2001: A Space Odyssey,1989,Romance,8.4,A visually stunning film with a heartfelt narrative.
92,Slumdog Millionaire,2021,Crime,7.6,A thrilling adventure that keeps you on the edge.
93,The Avengers,2014,Horror,9.7,A fast-paced story with intense action sequences.
94,Spirited Away,2014,Animation,7.4,A visually stunning film with a heartfelt narrative.
95,Gladiator,1975,Thriller,8.2,A beautifully crafted film with memorable characters.
96,The Avengers,1970,Crime,8.4,An emotional story that leaves a lasting impact.
97,Indiana Jones and the Last Crusade,1967,Horror,8.4,A suspenseful ride packed with unexpected twists.
98,Iron Man,1984,Crime,8.2,An emotional story that leaves a lasting impact.
99,Slumdog Millionaire,1965,Sci-Fi,8.7,A fast-paced story with intense action sequences.
100,Black Panther,1954,Action,8.7,A beautifully crafted film with memorable characters.
101,The Departed,2014,Sci-Fi,8.8,An emotional story that leaves a lasting impact.
102,Saving Private Ryan,2018,Adventure,6.6,A visually stunning film with a heartfelt narrative.
103,A Beautiful Mind,1995,Adventure,6.9,A thrilling adventure that keeps you on the edge.
104,The Terminator,2015,Comedy,8.0,A gripping story filled with emotion and depth.
105,The Shawshank Redemption,2016,Drama,7.7,An emotional story that leaves a lasting impact.
106,No Country for Old Men,2020,Romance,8.1,An emotional story that leaves a lasting impact.
107,The Truman Show,1990,Action,9.6,A beautifully crafted film with memorable characters.
108,The Matrix,1994,Comedy,8.3,A thrilling adventure that keeps you on the edge.
109,Shutter Island,2016,Drama,9.6,A thrilling adventure that keeps you on the edge.
110,The Shawshank Redemption,1999,Comedy,8.6,A beautifully crafted film with memorable characters.
111,The Silence of the Lambs,1955,Thriller,7.1,A beautifully crafted film with memorable characters.
112,The Godfather,1980,Animation,7.9,A visually stunning film with a heartfelt narrative.
113,The Lord of the Rings,1979,Romance,9.6,A powerful drama exploring human relationships.
114,Toy Story,1969,Crime,9.4,An emotional story that leaves a lasting impact.
115,Joker,1987,Adventure,7.6,A powerful drama exploring human relationships.
116,Interstellar,1978,Animation,8.6,A warm and inspiring tale of hope and resilience.
117,Back to the Future,1995,Drama,9.5,A beautifully crafted film with memorable characters.
118,The Social Network,1992,Comedy,8.3,A thrilling adventure that keeps you on the edge.
119,The Lion King,2011,Adventure,7.4,A beautifully crafted film with memorable characters.
120,The Shawshank Redemption,1992,Thriller,7.7,An emotional story that leaves a lasting impact.
121,Titanic,2005,Comedy,7.3,A warm and inspiring tale of hope and resilience.
122,Moonlight,1999,Horror,9.2,A beautifully crafted film with memorable characters.
123,The Avengers,1959,Sci-Fi,8.8,A thrilling adventure that keeps you on the edge.
124,Toy Story,1988,Thriller,7.9,A beautifully crafted film with memorable characters.
125,Titanic,1981,Sci-Fi,8.5,A suspenseful ride packed with unexpected twists.
126,The Shawshank Redemption,1973,Horror,8.4,A beautifully crafted film with memorable characters.
127,Star Wars,2003,Adventure,9.0,A thrilling adventure that keeps you on the edge.
128,Toy Story,2017,Thriller,6.5,A powerful drama exploring human relationships.
129,The Lion King,1961,Crime,7.2,A gripping story filled with emotion and depth.
130,The Matrix,2002,Comedy,7.8,An unforgettable journey of courage and discovery.
131,Back to the Future,1970,Animation,9.2,A warm and inspiring tale of hope and resilience.
132,Avatar,2015,Adventure,7.6,A fast-paced story with intense action sequences.
133,Titanic,1996,Sci-Fi,9.5,A beautifully crafted film with memorable characters.
134,Shutter Island,2024,Horror,7.6,A gripping story filled with emotion and depth.
135,Her,1994,Comedy,9.2,An emotional story that leaves a lasting impact.
136,The Pianist,1969,Action,9.3,A thrilling adventure that keeps you on the edge.
137,Harry Potter and the Sorcerer's Stone,1994,Animation,7.6,A powerful drama exploring human relationships.
138,The Wolf of Wall Street,1978,Horror,7.6,A warm and inspiring tale of hope and resilience.
139,Iron Man,1995,Thriller,8.1,An emotional story that leaves a lasting impact.
140,Forrest Gump,2023,Drama,7.7,An unforgettable journey of courage and discovery.
141,The Terminator,1993,Romance,7.1,A warm and inspiring tale of hope and resilience.
142,Casablanca,1995,Crime,9.4,A beautifully crafted film with memorable characters.
143,Her,2012,Comedy,6.9,A visually stunning film with a heartfelt narrative.
144,Her,1951,Drama,7.8,A gripping story filled with emotion and depth.
145,The Godfather,1972,Animation,7.3,A beautifully crafted film with memorable characters.
146,Parasite,1956,Comedy,8.5,A thrilling adventure that keeps you on the edge.
147,The Dark Knight,2010,Romance,7.2,A beautifully crafted film with memorable characters.
